"visit_library","visit_cinema","visit_concert","visit_museum","visit_historical_site","artistic_activity_sung","artistic_activity_played_music","subjective_urbanization","life_satisfaction","gender","difficulty_bills","megye","marital_status","marital_status_str","occupation","occupation_paid","age_exact","age_education_raw","age_education","big_five_risk_taking","big_five_creative","big_five_organized","big_five_talkative","big_five_compassionate","big_five_calm","weight_10","proj_weight_10","weight_15","proj_weight_15","weight_1569","proj_weight_1569"
0,0,5,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Inkább elégedett","no","Szinte soha\Soha","Borsod","hajadon\notlen, sosem élt partnerrel",NA,"Munkanélküli, vagy ideiglenesen nem dolgozik","Irodai munkát végzo alkalmazott",23,18,18,"7","8","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve","6",0.763142165440554,6185.05855897268,0.77260345370118,6211.49747155691,0.683290122411944,6090.22689848673
0,10,0,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Inkább elégedett","no","Szinte soha\Soha","Borsod","házas",NA,"Bolttulajdonos, kisiparos, egyéb önálló",NA,58,18,18,"0 - Egyáltalán nem igaz rám nézve","5","5","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve",0.76740347559081,6219.59531242551,0.777261724078191,6248.94855274225,1.15077266274289,10256.9412242354
0,0,3,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Egyáltalán nem elégedett","no","Néha","Borsod","hajadon\notlen, jelenleg partnerével él",NA,"Segédmunkás, házi személyzet",NA,22,20,20,"10 - Teljes mértékben igaz rám nézve","7","10 - Teljes mértékben igaz rám nézve","3","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve",0.635184824923833,5147.99930581315,0.642437312168178,5165.00116722215,0.701703987302087,6254.3513480883
0,0,3,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Egyáltalán nem elégedett","férfi","Az esetek többségében","Borsod","házas",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Szakmunkás",68,17,17,"1","6","5","8","6","0 - Egyáltalán nem igaz rám nézve",0.680729154253266,5517.1236402929,0.689392098117996,5542.50340696439,1,1.215009473
0,1,0,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Nem nagyon elégedett","férfi","Szinte soha\Soha","Borsod","elvált",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Szakmunkás",67,19,19,"0 - Egyáltalán nem igaz rám nézve","5","10 - Teljes mértékben igaz rám nézve","6","6","10 - Teljes mértékben igaz rám nézve",0.680729154253266,5517.1236402929,0.689392098117996,5542.50340696439,1,1.215009473
2,3,0,2,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Inkább elégedett","no","Szinte soha\Soha","Borsod","házas",NA,"Szakmunkás",NA,29,18,18,"6","6","8","9","10 - Teljes mértékben igaz rám nézve","8",0.742065796490221,6014.24035225878,0.751880755179032,6044.89325970991,0.654607192987708,5834.5733443416
0,2,0,2,3,99998,99998,"kis, esetleg közepes méretu városban, vagy","Nem nagyon elégedett","férfi","Szinte soha\Soha","Veszprém","házas",NA,"Szakmunkás",NA,48,17,17,"0 - Egyáltalán nem igaz rám nézve","6","4","4","5","7",0.65496304818295,5308.29639669589,0.670341639387415,5389.34349592577,1.28425412859048,11446.673648414
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Nem nagyon elégedett","no","Szinte soha\Soha","Somogy","elvált",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Segédmunkás, házi személyzet",67,15,15,"2","5","8","7","9","9",1.09762520408305,8895.95211809432,1.08630672023039,8733.57660222956,1,1.215009473
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Nem nagyon elégedett","férfi","Néha","Somogy","házas",NA,"Segédmunkás, házi személyzet",NA,60,16,16,"5","8","7","3","5","6",1.1697956342157,9480.87371830367,1.15871698897524,9315.7332041302,1,1.215009473
0,2,1,1,0,99998,99998,"faluban, falusias településen él, vagy","Inkább elégedett","férfi","Szinte soha\Soha","Somogy","hajadon\notlen, jelenleg partnerével él",NA,"Alkalmazott, aki nem irodai munkát végez, hanem utazik",NA,26,18,18,"8","9","8","6","6","8",0.739268320558248,5991.56757483914,0.732306611294927,5887.52307884733,0.659778561423918,5880.66622073357
0,0,0,0,0,5,99998,"faluban, falusias településen él, vagy","Egyáltalán nem elégedett","no","Néha","Somogy","házas",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Segédmunkás, házi személyzet",57,14,14,"2","5","5","7","9","4",1.09762520408305,8895.95211809432,1.08630672023039,8733.57660222956,1.50458239920937,13410.4795285336
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Nem nagyon elégedett","férfi","Néha","Somogy","hajadon\notlen, sosem élt partnerrel",NA,"Munkanélküli, vagy ideiglenesen nem dolgozik","Szakmunkás",22,18,18,"7","5","5","5","5","5",0.632790274105721,5128.59212625584,0.62571237234457,5030.53772296933,0.70724741837093,6303.76045250533
0,0,0,0,0,99998,99998,"nagyvárosban él?","Nem nagyon elégedett","férfi","Néha","Borsod","házas",NA,"Szakmunkás",NA,54,18,18,"7","6","7","7","6","6",0.680729154253266,5517.1236402929,0.689392098117996,5542.50340696439,1.27008496927948,11320.3826450256
0,2,0,0,0,99998,99998,"nagyvárosban él?","Inkább elégedett","no",NA,"Borsod",NA,NA,NA,NA,NA,888,888,"7","5","7","6","7","7",1.1465637095895,9292.58532230377,1,0.946964205,1,1.215009473
0,0,0,0,0,99998,99998,"nagyvárosban él?","Inkább elégedett","no","Néha","Borsod","házas",NA,"Szakmunkás",NA,49,18,18,"7","7","8","7","7","8",0.638731633977652,5176.7452232697,0.646310769743372,5196.14259147963,1.18178463208941,10533.3537226666
20,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Inkább elégedett","no","Néha","Heves","házas",NA,"Szolgáltatás, közszolgáltatás (pl.: kórház, étterem,",NA,42,16,16,"5","8","8","7","5","7",1.13649701891225,9210.99754724231,1.13955054713054,9161.64082402655,0.856834770345796,7637.0461020255
0,0,0,0,1,99998,99998,"faluban, falusias településen él, vagy","Inkább elégedett","no","Néha","Heves","házas",NA,"Szolgáltatás, közszolgáltatás (pl.: kórház, étterem,",NA,32,19,19,"0 - Egyáltalán nem igaz rám nézve","4","4","5","6","6",0.742748439582201,6019.77298784095,0.744504774133515,5985.59260891033,0.614601519154204,5477.99914125952
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Inkább elégedett","férfi","Néha","Békés","házas",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Szakmunkás",78,15,15,"4","6","10 - Teljes mértékben igaz rám nézve","6","8","8",2.07845329044831,16845.2955368952,2.08603046758749,16771.0523593154,1,1.215009473
1,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Inkább elégedett","no","Néha","Baranya","házas",NA,"Irodai munkát végzo alkalmazott",NA,44,17,17,"6","8","8","8","8","5",1.09130379775553,8844.71884848698,1.08020171324621,8684.4941974533,0.859014291409415,7656.4723711491
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Nem nagyon elégedett","férfi","Szinte soha\Soha","Somogy","házas",NA,"Szakmunkás",NA,46,17,17,"7","8","8","6","5","5",0.636323712225305,5157.22967594688,0.629484989972227,5060.86842462888,1.19112067943238,10616.566760275
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Egyáltalán nem elégedett","no","Néha","Somogy","házas",NA,"Segédmunkás, házi személyzet",NA,45,14,14,"3","6","8","8","9","5",1.09130379775553,8844.71884848698,1.08020171324621,8684.4941974533,0.859014291409415,7656.4723711491
0,0,0,0,0,99998,5,"faluban, falusias településen él, vagy","Egyáltalán nem elégedett","férfi","Szinte soha\Soha","Somogy","elvált",NA,"Szakmunkás",NA,49,17,17,"8","9","7","10 - Teljes mértékben igaz rám nézve","8","4",0.636323712225305,5157.22967594688,0.629484989972227,5060.86842462888,1.19112067943238,10616.566760275
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Egyáltalán nem elégedett","no","Néha","Somogy","özvegy",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Segédmunkás, házi személyzet",67,14,14,"1","5","7","7","8","7",1.09762520408305,8895.95211809432,1.08630672023039,8733.57660222956,1,1.215009473
0,0,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Egyáltalán nem elégedett","no","Néha","Somogy","hajadon\notlen, régebben partnerrel élt együtt, de",NA,"Segédmunkás, házi személyzet",NA,42,14,14,"3","7","6","7","9","8",1.09130379775553,8844.71884848698,1.08020171324621,8684.4941974533,0.859014291409415,7656.4723711491
9999,0,0,1,0,99998,99998,"faluban, falusias településen él, vagy","Nem nagyon elégedett","no",NA,"Somogy",NA,NA,NA,NA,NA,999,999,"0 - Egyáltalán nem igaz rám nézve","6","5","5","8","5",1.07177086720949,8686.40978796501,1,0.946964205,1,1.215009473
0,2,0,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Inkább elégedett","no","Szinte soha\Soha","Veszprém","hajadon\notlen, jelenleg partnerével él",NA,"Szakmunkás",NA,33,17,17,"5","5","5","6","7","6",0.611015839831553,4952.116290988,0.624918935526223,5024.15873156385,0.682245915675219,6080.91978903645
0,1,0,0,0,99998,99998,"kis, esetleg közepes méretu városban, vagy","Inkább elégedett","férfi","Szinte soha\Soha","Veszprém","hajadon\notlen, jelenleg partnerével él",NA,"Szakmunkás",NA,35,18,18,"7","7","7","7","8","8",0.651191006923628,5277.72503380664,0.666574342072544,5359.05556796762,0.733221823437838,6535.27268314065
20,0,0,5,20,99998,99998,"faluban, falusias településen él, vagy","Nem nagyon elégedett","no","Szinte soha\Soha","Heves","özvegy",NA,"Nyugdíjas, vagy betegség miatt munkaképtelen","Alkalmazott (magasan képzett értelmiségi (jogász, orvos,",69,18,18,"8","7","9","7","10 - Teljes mértékben igaz rám nézve","9",1.43356830492663,11618.6790820813,1.43736601348542,11555.9868593594,1,1.215009473
0,2,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Nagyon elégedett","férfi","Szinte soha\Soha","Heves","házas",NA,"Szakmunkás",NA,38,20,20,"0 - Egyáltalán nem igaz rám nézve","5","9","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve",0.791585213888771,6415.58168849516,0.794131449337546,6384.5760279915,0.660523187032805,5887.3031363918
0,2,0,0,0,99998,99998,"faluban, falusias településen él, vagy","Inkább elégedett","no","Szinte soha\Soha","Heves","hajadon\notlen, sosem élt partnerrel",NA,"Munkanélküli, vagy ideiglenesen nem dolgozik","SOHA NEM VÉGZETT FIZETETT MUNKÁT",23,21,21,"3","5","9","7","8","9",1.42560785209682,11554.1617887932,1.42875161847005,11486.729735798,1.1252943390071,10029.8506115447
0,5,0,0,0,99998,99998,"nagyvárosban él?","Inkább elégedett","no","Szinte soha\Soha","Baranya","házas, de külön élo",NA,"Középvezeto, egyéb vezeto (osztályvezeto, foosztályvezeto,",NA,36,23,23,"0 - Egyáltalán nem igaz rám nézve","3","9","10 - Teljes mértékben igaz rám nézve","10 - Teljes mértékben igaz rám nézve","5",1.40592113996326,11394.606370558,1.40651129838594,11307.9243068198,1.15962766215655,10335.8666379745
6,6,4,3,3,20,4,"nagyvárosban él?","Nagyon elégedett","no","Néha","Komárom","házas",NA,"Középvezeto, egyéb vezeto (osztályvezeto, foosztályvezeto,",NA,33,25,25,"8","7","10 - Teljes mértékben igaz rám nézve","8","10 - Teljes mértékben igaz rám nézve","8",1.40872442020013,11417.3261902816,1.44278578026959,11599.5601407304,1.16958948006502,10424.6572254483
